timestamp,solar_pv,wind,hydro,demand_mwh
2030-01-01 00:00:00,0.0,0.663,0.25,1773.8010348229802
2030-01-01 01:00:00,0.0,0.632,0.25,1647.8337695306752
2030-01-01 02:00:00,0.0,0.575,0.25,1569.3558232362402
2030-01-01 03:00:00,0.0,0.538,0.25,1523.5555503953558
2030-01-01 04:00:00,0.0,0.51,0.25,1514.7129776592376
2030-01-01 05:00:00,0.0,0.508,0.25,1604.4102599162375
2030-01-01 06:00:00,0.0,0.591,0.25,1884.2186481948263
2030-01-01 07:00:00,0.0,0.601,0.25,2463.611754929939
2030-01-01 08:00:00,0.0,0.57,0.25,2891.6681507149915
2030-01-01 09:00:00,0.0,0.538,0.25,3176.9415780136796
2030-01-01 10:00:00,0.0,0.512,0.25,3353.5222667210205
2030-01-01 11:00:00,0.0,0.518,0.25,3434.8577691172695
2030-01-01 12:00:00,0.091,0.478,0.25,3314.2864283614085
2030-01-01 13:00:00,0.313,0.599,0.25,3113.111607679986
2030-01-01 14:00:00,0.51,0.776,0.25,3010.0325394750143
2030-01-01 15:00:00,0.624,0.819,0.25,2942.0902549877337
2030-01-01 16:00:00,0.694,0.803,0.25,2982.9860249436892
2030-01-01 17:00:00,0.702,0.775,0.25,3151.1141211308227
2030-01-01 18:00:00,0.67,0.751,0.25,3579.1079531879377
2030-01-01 19:00:00,0.584,0.731,0.25,4178.78773568505
2030-01-01 20:00:00,0.434,0.723,0.25,4418.845378925678
2030-01-01 21:00:00,0.226,0.726,0.25,4239.365378984094
2030-01-01 22:00:00,0.01,0.727,0.25,3501.795011051337
2030-01-01 23:00:00,0.0,0.752,0.25,2533.3513442045173
2030-01-02 00:00:00,0.0,0.685,0.25,1747.6507880975184
2030-01-02 01:00:00,0.0,0.659,0.25,1619.5642886038434
2030-01-02 02:00:00,0.0,0.639,0.25,1541.5178114093858
2030-01-02 03:00:00,0.0,0.6,0.25,1490.3392101024556
2030-01-02 04:00:00,0.0,0.57,0.25,1498.9559049821078
2030-01-02 05:00:00,0.0,0.554,0.25,1576.7522525003023
2030-01-02 06:00:00,0.0,0.557,0.25,1869.9285917030436
